text,Publication Date,sentiment_scores,sentiment
Peter Dutton doubles down on call to cancel visas of antisemitic protesters,2023-10-13T00:31:06Z,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.000, 'compound': -0.4404}",negative
O’Neil accuses Dutton of politicising national security on visas for Israel-Palestine conflict: as it happened,2023-11-24T06:40:28Z,"{'neg': 0.246, 'neu': 0.628, 'pos': 0.126, 'compound': -0.3182}",negative
"GPs aiding international student agents to exploit Australian visa ‘loophole’, inquiry hears",2023-05-15T08:34:10Z,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.000, 'compound': -0.1027}",negative
"Asylum seeker walking 1,000km from Ballarat to Sydney to raise awareness about life in visa limbo",2023-07-31T22:00:04Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"The moment I knew: our visa situation made things complicated – then he proposed, hypothetically",2023-06-17T20:00:23Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"After seven years in Australia, I’m finally off the visa merry-go-round | Lucy Pearson",2023-05-29T05:24:57Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Afternoon Update: former Liberal staffer gives evidence in Lehrmann defamation case; US to place visa bans on some Israeli settlers; and first summer heatwave,2023-12-06T05:40:49Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
High court ruling casts doubt on hundreds of Australian visa refusals,2023-04-12T03:33:14Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.3612}",negative
"Morning Mail: $2bn ‘silent stalker’ student debt, partner visa blowout, Sudan embassy evacuations ",2023-04-23T20:50:20Z,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.000, 'compound': -0.3612}",negative
Fugitive turned Sydney identity Darko ‘Dougie’ Desic granted permanent visa,2023-02-06T10:14:02Z,"{'neg': 0.000, 'neu': 0.818, 'pos': 0.182, 'compound': 0.2500}",neutral
‘Regional’ visa pushed by Coalition MPs actually allows migrants to move to cities,2023-04-05T15:00:11Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Dozens re-detained after visa cancellation bill passes – as it happened,2023-02-17T08:19:41Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Morning Mail: changes to ‘broken’ migration system; Cop28 goes down to the wire; winter looms in Gaza,2023-12-10T19:53:40Z,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.000, 'compound': -0.1531}",negative
Scott Morrison’s secret ministries used as grounds for Afghan man’s cancelled visa case,2023-03-02T14:00:07Z,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.000, 'compound': -0.2500}",negative
Peter Dutton promises to slash permanent migration by 25% in short term in populist budget reply,2024-05-16T13:00:39Z,"{'neg': 0.112, 'neu': 0.749, 'pos': 0.139, 'compound': 0.1280}",negative
Visa delays caused by security checks turning Chinese students away from Australian universities,2023-02-18T19:00:05Z,"{'neg': 0.000, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3400}",neutral
Defence force ‘surge’ to detect asylum boats in Australia’s northern waters follows visa change,2023-02-15T23:54:47Z,"{'neg': 0.000, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",neutral
"Morning Mail: sporting concussion’s hidden trauma, asylum seeker visa change, Gabrielle hits New Zealand",2023-02-12T20:01:48Z,"{'neg': 0.177, 'neu': 0.823, 'pos': 0.000, 'compound': -0.4215}",negative
Visa delays await Chinese students returning to Australia after sudden ban on online learning,2023-01-30T07:31:24Z,"{'neg': 0.212, 'neu': 0.706, 'pos': 0.082, 'compound': -0.4939}",negative
Iranian PhD students remain in limbo due to Australian visa delays despite securing scholarships,2023-01-14T19:00:15Z,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.000, 'compound': -0.2411}",negative
Pacific Islander workers making as little as $200 a week in Australia seek protection visas for better pay,2023-07-22T20:00:21Z,"{'neg': 0.069, 'neu': 0.788, 'pos': 0.143, 'compound': 0.3612}",neutral
With the latest visa decision I hope we’re done with a mean-spirited period in Australian history | Zaki Haidari,2023-02-13T05:56:41Z,"{'neg': 0.000, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",neutral
Trial of Hong Kong tycoon Jimmy Lai delayed after British lawyer denied visa extension,2022-12-13T05:17:07Z,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.000, 'compound': -0.5859}",negative
Sudanese Australians call for emergency visas to help loved ones escape worsening conflict,2023-05-03T04:41:17Z,"{'neg': 0.341, 'neu': 0.302, 'pos': 0.358, 'compound': 0.1027}",negative
Tennis star Novak Djokovic to be granted visa to play in Australian Open ,2022-11-15T05:46:20Z,"{'neg': 0.000, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5267}",positive
My first umpiring gig for a local cricket club has been a welcome distraction from waiting for a family visa | Shadi Khan Saif,2023-03-13T14:00:21Z,"{'neg': 0.094, 'neu': 0.797, 'pos': 0.109, 'compound': 0.1027}",neutral
"Daryl Maguire, former MP and ex-partner of Gladys Berejiklian, charged over alleged visa fraud",2022-11-29T05:40:02Z,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.000, 'compound': -0.6808}",negative
"Australia’s post-pandemic surge in net overseas migration temporary, federal budget predicts",2023-05-09T15:00:48Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
‘Putting their lives on hold’: Australian families kept apart as wait times for partner visas blow out ,2023-04-23T15:00:42Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Labor’s refusal to grant visa to people smuggler challenged in high court,2022-08-09T05:02:38Z,"{'neg': 0.281, 'neu': 0.562, 'pos': 0.156, 'compound': -0.2500}",negative
Sorrow turns to anger over ‘disgusting’ Australian visa cancellation for New Zealand-born father,2022-09-18T17:30:20Z,"{'neg': 0.392, 'neu': 0.608, 'pos': 0.000, 'compound': -0.7964}",negative
Reports EU set to suspend visa travel agreement with Russia – as it happened,2022-08-28T19:23:47Z,"{'neg': 0.131, 'neu': 0.686, 'pos': 0.183, 'compound': 0.2263}",negative
"Morning mail: visa backlog’s human impact, Putin’s army plan, Dutton denounces ‘witch-hunt’",2022-08-25T20:50:18Z,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.000, 'compound': -0.4404}",negative
Dutton readies budget reply as Chalmers links migration cut to inflation fight ,2024-05-15T15:00:43Z,"{'neg': 0.320, 'neu': 0.680, 'pos': 0.000, 'compound': -0.5719}",negative
‘I can never feel settled’: wait time for key Australian work visa more than doubles,2022-09-29T17:30:17Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Morning mail: Afghan refugee visa limbo, Turnbull backs voice, Olivia Newton-John’s best",2022-08-14T21:00:42Z,"{'neg': 0.078, 'neu': 0.649, 'pos': 0.273, 'compound': 0.6124}",neutral
"Coalition to campaign on balancing housing construction and migration, says Andrew Bragg",2024-04-30T08:01:19Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Australian visa backlog keeping engineers out of country amid skills shortage,2022-06-09T17:30:37Z,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.000, 'compound': -0.2500}",negative
Former Sri Lanka president Gotabaya Rajapaksa turns up in Thailand after Singapore visa expires,2022-08-11T23:19:07Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
From working holidaymakers to family reunion – five key changes to Australian migration,2023-04-27T02:31:40Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Afghan nationals in Australia fear for loved ones in grim wait for split-family visas,2022-12-05T14:00:43Z,"{'neg': 0.317, 'neu': 0.505, 'pos': 0.179, 'compound': -0.4588}",negative
Man who had Australian visa cancelled challenges government’s ability to keep evidence secret,2022-06-07T08:47:16Z,"{'neg': 0.128, 'neu': 0.641, 'pos': 0.231, 'compound': 0.1531}",negative
Australian teen strip-searched and held in US jail for 10 days after being denied common visa waiver,2022-09-04T17:30:04Z,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.000, 'compound': -0.4404}",negative
"Visa application backlog risks causing ‘human misery and economic carnage’ due to understaffing, says Labor MP",2022-07-20T17:30:26Z,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.000, 'compound': -0.7003}",negative
Labor defends agricultural visa scheme as farmers brace for minimum wage rise,2022-04-26T17:30:05Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Monday briefing: Novak Djokovic in visa court victory,2022-01-10T06:33:25Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Murugappan family to return to Biloela on bridging visas,2022-05-27T05:36:07Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Novak Djokovic leaves Australia after court upholds visa cancellation,2022-01-16T11:46:34Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Australia’s ‘broken’ migration system leaves 1.8m workers ‘permanently temporary’, review finds",2023-04-26T15:00:05Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Novak Djokovic: Australia sparks diplomatic row with visa cancellation,2022-01-06T02:35:01Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Labor would deport visa holders convicted of crimes but tweak rules to ease New Zealand tensions,2022-05-19T17:30:02Z,"{'neg': 0.171, 'neu': 0.673, 'pos': 0.156, 'compound': -0.0772}",negative
‘Got your visa?’: Victoria’s coastal enclave of Rye is holding fast to its barefoot roots,2022-04-23T20:00:03Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Djokovic case exposes ‘dysfunctional and dangerous’ Australian visa rules, experts say",2022-01-17T03:45:08Z,"{'neg': 0.130, 'neu': 0.870, 'pos': 0.000, 'compound': -0.1280}",negative
Novak Djokovic wins appeal against decision to cancel his Australian visa,2022-01-10T06:44:26Z,"{'neg': 0.136, 'neu': 0.612, 'pos': 0.252, 'compound': 0.4019}",negative
Labor urged to improve work rights for people on bridging visas amid skilled migration push,2022-08-31T17:30:32Z,"{'neg': 0.000, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",neutral
Serbian president decries Novak Djokovic ‘harassment’ amid reaction to visa cancellation,2022-01-06T16:20:28Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
International borders reopening: Australian visa holders make plans to reunite with loved ones,2022-02-08T16:30:28Z,"{'neg': 0.000, 'neu': 0.755, 'pos': 0.245, 'compound': 0.5994}",positive
Albanese government to radically streamline migration with three-tiered system for skilled workers,2023-04-27T07:40:36Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Novak Djokovic awaits Australia visa ruling after lawyers debate his vaccination views,2022-01-16T04:40:34Z,"{'neg': 0.000, 'neu': 0.894, 'pos': 0.106, 'compound': 0.0772}",neutral
"Morrison government dragging out Djokovic visa saga ‘as a distraction’, Labor says",2022-01-14T06:21:44Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Aged care staff locked out of Australia due to government’s bridging visa stance,2022-02-02T16:30:28Z,"{'neg': 0.000, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}",neutral
Labor helps Coalition pass its visa cancellation character test bill in the lower house,2022-02-16T04:15:54Z,"{'neg': 0.131, 'neu': 0.714, 'pos': 0.155, 'compound': 0.1027}",negative
Underfire Tennis Australia boss Craig Tiley refuses to resign over Djokovic visa saga,2022-01-20T09:43:25Z,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.000, 'compound': -0.3400}",negative
Locked-out New Zealanders outraged as visa scheme for rich foreigners resumes,2021-12-24T00:02:58Z,"{'neg': 0.217, 'neu': 0.559, 'pos': 0.224, 'compound': 0.0258}",negative
Dfat bungle delayed visas for former Afghan embassy employees at risk from Taliban,2022-07-01T20:00:25Z,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.000, 'compound': -0.4588}",negative
Novak Djokovic: Liberal MPs divided over whether Australian government should again cancel visa,2022-01-10T23:38:13Z,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.000, 'compound': -0.2500}",negative
Novak Djokovic to remain in detention during court challenge to Australian visa cancellation,2022-01-06T08:50:52Z,"{'neg': 0.169, 'neu': 0.743, 'pos': 0.088, 'compound': -0.2960}",negative
Migration rebound slowed by Australians leaving the country since borders reopened,2022-08-21T17:30:15Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
‘Profound anxiety’ for visa holders locked out of Australia despite border reopening,2021-12-08T16:30:47Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Hong Kong denies visa to Economist journalist in latest media blow,2021-11-13T07:16:52Z,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.000, 'compound': -0.4215}",negative
Novak Djokovic visa: Australian minister Alex Hawke says risk of ‘civil unrest’ behind cancellation,2022-01-15T04:38:43Z,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.000, 'compound': -0.2732}",negative
Novak Djokovic included in delayed Australian Open draw as wait on visa decision continues,2022-01-13T06:02:02Z,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.000, 'compound': -0.2263}",negative
"Refugee advocates want review of minister’s ‘godlike’ powers, as Djokovic waits on visa verdict",2022-01-13T00:48:52Z,"{'neg': 0.000, 'neu': 0.805, 'pos': 0.195, 'compound': 0.2263}",neutral
Craig Tiley privately praises staff for ‘unbelievable job’ as Djokovic visa saga drags on,2022-01-08T05:00:14Z,"{'neg': 0.099, 'neu': 0.702, 'pos': 0.199, 'compound': 0.4019}",neutral
‘Every day I am fearful’: Afghans with Australian visas wait in limbo a year after the fall of Kabul,2022-08-14T17:30:17Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Novak Djokovic visa cancelled: why is the tennis star being kicked out of Australia? ,2022-01-07T01:09:30Z,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.000, 'compound': -0.2500}",negative
Beijing criticises UK for creating ‘second-class citizens’ with Hong Kong visa scheme,2021-12-16T04:34:58Z,"{'neg': 0.159, 'neu': 0.690, 'pos': 0.152, 'compound': -0.0258}",negative
‘I’m beyond devastated’: Sydney woman on bridging visa denied exemption to travel to UK funeral,2022-01-23T16:30:27Z,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.000, 'compound': -0.6597}",negative
Australia to let in vaccinated visa holders but tourists have to wait,2021-11-22T04:15:20Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"‘Stuck in limbo-land’: restrictions keep bridging visa holders trapped in, and out, of Australia",2022-01-20T16:30:06Z,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.000, 'compound': -0.5267}",negative
"Nearly 1,400 Afghans granted emergency visas never made it to Australia",2022-04-05T09:21:47Z,"{'neg': 0.191, 'neu': 0.662, 'pos': 0.147, 'compound': -0.1531}",negative
Australia is reopening but thousands of humanitarian visa holders remain stranded overseas,2021-11-17T03:41:38Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Australia has become a ‘guest worker state’ exploiting temporary visa holders, report reveals",2021-12-01T16:30:02Z,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.000, 'compound': -0.4404}",negative
Harvest looms but doubts remain about Australia’s promised agricultural visa,2021-09-22T17:30:27Z,"{'neg': 0.286, 'neu': 0.488, 'pos': 0.226, 'compound': 0.0387}",negative
‘Not without my partner’: refugees forced to choose between family in Australia and chance of US visa,2022-02-03T16:30:00Z,"{'neg': 0.150, 'neu': 0.750, 'pos': 0.100, 'compound': -0.2500}",negative
Australia offers visa fee refund to lure international workers and students as Morrison defends handling of pandemic,2022-01-19T07:35:45Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Trapped in travel limbo for years, visa holders consider giving up Australia to see family",2021-12-01T23:08:50Z,"{'neg': 0.181, 'neu': 0.691, 'pos': 0.128, 'compound': -0.2500}",negative
"Morning mail: visa holders’ travel limbo, Jenkins review action urged, ",2021-12-01T19:48:32Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Migration to Australia set to rebound to pre-pandemic levels, report finds",2023-01-02T14:00:18Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
New Zealand stops taking visa applications from Afghans who assisted troops,2021-08-26T02:01:37Z,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.000, 'compound': -0.1531}",negative
Novak Djokovic’s mother claims tennis star subjected to ‘torture’ after he wins visa court battle – as it happened,2022-01-10T15:03:48Z,"{'neg': 0.112, 'neu': 0.730, 'pos': 0.159, 'compound': 0.2732}",negative
"Visas for international graduates could help solve worker shortage, think tank says",2022-03-21T16:30:30Z,"{'neg': 0.129, 'neu': 0.581, 'pos': 0.290, 'compound': 0.3612}",negative
As Australia’s economy recovers what must not return is the wage theft and abuse of short-term visa holders | Greg Jericho,2022-01-19T16:30:11Z,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.000, 'compound': -0.6369}",negative
NSW bans singing and dancing in venues and suspends elective surgery; Coalition defends Djokovic visa decision – As it happened,2022-01-07T07:37:16Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Australian Christian Lobby criticises Scott Morrison for saying Ukrainians at ‘top of pile’ for visas,2022-03-02T16:30:44Z,"{'neg': 0.140, 'neu': 0.793, 'pos': 0.067, 'compound': -0.2960}",negative
Senate blocks visa cancellation bill as Labor accuses Coalition of backing out of bipartisan deal,2021-10-20T02:41:51Z,"{'neg': 0.247, 'neu': 0.690, 'pos': 0.063, 'compound': -0.4939}",negative
Australians found to overwhelmingly support path to permanent residency for migrants on temporary visas,2022-02-01T16:30:02Z,"{'neg': 0.093, 'neu': 0.741, 'pos': 0.167, 'compound': 0.2960}",neutral
"Australia should grant temporary visas for all jobs earning over $70,000, report says",2022-03-15T16:30:07Z,"{'neg': 0.000, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",neutral
Judge orders New Zealand man who had visa revoked by Peter Dutton to be freed from detention,2021-11-19T08:11:30Z,"{'neg': 0.124, 'neu': 0.743, 'pos': 0.134, 'compound': 0.0516}",negative
"Australia fast-tracked visas for Afghan army officers after warning of negative publicity, documents show",2022-03-28T22:30:06Z,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.000, 'compound': -0.7269}",negative
"Peter Dutton’s migration cuts would cost budget $34bn over coming decades, thinktank calculates",2024-05-20T07:06:22Z,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.000, 'compound': -0.2960}",negative
Afternoon Update: Taylor and Dutton at odds on migration; ‘Diddy’ faces new lawsuit; and Kiwi fined for trying to ‘body slam’ an orca,2024-05-22T07:02:17Z,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.000, 'compound': -0.2263}",negative
O’Neil says migration system ‘broken’ – as it happened,2023-02-22T07:10:48Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Albanese to welcome Chris Hipkins amid migration overhaul – as it happened,2023-04-22T06:23:35Z,"{'neg': 0.000, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}",neutral
Guardian Essential poll: majority of Australians support rent freezes and migration cap amid housing crisis,2023-05-29T15:00:04Z,"{'neg': 0.261, 'neu': 0.603, 'pos': 0.136, 'compound': -0.3612}",negative
"Morning Mail: migration system is ‘broken’, Donald Trump accused of rape, Sydney’s ‘latte line’ deepens",2023-04-26T21:01:41Z,"{'neg': 0.347, 'neu': 0.653, 'pos': 0.000, 'compound': -0.7845}",negative
Budget reply speech 2023: Peter Dutton withholds support for jobseeker boost and doubles down on migration attacks,2023-05-11T10:31:01Z,"{'neg': 0.130, 'neu': 0.628, 'pos': 0.242, 'compound': 0.3612}",negative
Unusual sightings of ‘devil bird’ across Melbourne raise migration mysteries for researchers,2023-01-25T14:00:23Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Increased migration must come with planning and expanded services, councils say",2022-09-02T07:46:00Z,"{'neg': 0.000, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",neutral
Daniel Andrews backs federal plan to boost migration – as it happened,2022-08-14T07:56:26Z,"{'neg': 0.086, 'neu': 0.719, 'pos': 0.194, 'compound': 0.3612}",neutral
Labor vows to prioritise Australian jobs as it eyes migration boost ,2022-08-14T08:17:29Z,"{'neg': 0.000, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",neutral
"Business lobby calls to open temporary skilled migration to all jobs earning more than $90,000",2022-08-26T20:00:02Z,"{'neg': 0.000, 'neu': 0.927, 'pos': 0.073, 'compound': 0.0258}",neutral
"Refugee children handed anti-‘illegal migration’ playing cards, Australian charity says",2022-05-25T17:30:43Z,"{'neg': 0.000, 'neu': 0.635, 'pos': 0.365, 'compound': 0.5574}",positive
Understaffed sectors join NSW and Victorian premiers in calling for improved skill migration,2022-06-02T17:30:06Z,"{'neg': 0.000, 'neu': 0.675, 'pos': 0.325, 'compound': 0.6486}",positive
New clues shed light on ‘pivotal’ moment in the great Pacific migration,2022-04-22T20:00:34Z,"{'neg': 0.000, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",positive
Former federal Labor MP Craig Thomson charged over alleged migration fraud,2021-11-17T02:59:26Z,"{'neg': 0.384, 'neu': 0.616, 'pos': 0.000, 'compound': -0.6808}",negative
Former Labor MP Craig Thomson granted bail after being charged over alleged migration fraud,2021-11-18T06:14:58Z,"{'neg': 0.301, 'neu': 0.591, 'pos': 0.108, 'compound': -0.5574}",negative
Cathedral bells ring out as New Zealand welcomes godwits after longest migration,2021-09-22T20:00:28Z,"{'neg': 0.000, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",neutral
Migration firm investigated over ads promising Vanuatu passports,2021-02-03T19:00:13Z,"{'neg': 0.000, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",neutral
"Prioritise skilled migrants over some returning Australians, migration committee advises",2021-03-18T07:04:12Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Orange-bellied parrots leave Tasmania in biggest ever numbers for annual migration,2021-04-22T07:57:08Z,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.000, 'compound': -0.0516}",negative
Three members of Biloela family granted temporary bridging visas,2021-06-23T06:44:35Z,"{'neg': 0.000, 'neu': 0.800, 'pos': 0.200, 'compound': 0.2500}",neutral
Labor accuses Coalition of playing politics with ‘women and children’s lives’ in pushing visa cancellation bill,2021-10-14T16:30:07Z,"{'neg': 0.132, 'neu': 0.769, 'pos': 0.099, 'compound': -0.1531}",negative
